"DETECT_EQUIP_NO","POSITION_NO","BAR_CODE","LOAD_CURRENT","PF","AVE_ERR"
"8","2","3730001000000411763930","05","01","+0.0189"
"8","19","3730001000000411737900","05","01","+0.0555"
"15","28","3730001000000411741976","05","01","+0.0189"
"15","34","3730001000000411742003","05","01","+0.0100"
"14","18","3730001000000411847586","05","01","-0.0055"
"14","23","3730001000000411712730","05","01","+0.0422"
"14","34","3730001000000411713188","05","01","+0.0411"
"14","50","3730001000000411857226","05","01","+0.0133"
"13","2","3730001000000411791834","05","01","-0.0222"
"13","6","3730001000000411778460","05","01","+0.0066"
"13","15","3730001000000411778446","05","01","-0.0166"
"13","24","3730001000000411780074","05","01","-0.0077"
"10","9","3730001000000411814380","05","01","-0.0089"
"10","11","3730001000000411737467","05","01","+0.0923"
"13","50","3730001000000411826239","05","01","+0.0155"
"13","60","3730001000000411826741","05","01","+0.0011"
"17","15","3730001000000411817763","05","01","+0.0600"
"17","37","3730001000000411817787","05","01","+0.0400"
"13","46","3730001000000411775933","05","01","+0.0289"
"13","51","3730001000000411754907","05","01","+0.0656"
"13","60","3730001000000411812805","05","01","-0.0022"
"10","13","3730001000000411828479","05","01","+0.0189"
"12","32","3730001000000411857684","05","01","+0.0033"
"12","35","3730001000000411857745","05","01","+0.0055"
"12","36","3730001000000411860660","05","01","+0.0266"
"12","39","3730001000000411860981","05","01","-0.0255"
"12","41","3730001000000411857707","05","01","+0.0478"
"12","45","3730001000000411830854","05","01","+0.0189"
"12","47","3730001000000411831226","05","01","+0.0144"
"12","58","3730001000000411856472","05","01","-0.0022"
"12","60","3730001000000411860523","05","01","+0.0044"
"6","8","3730001000000411833565","05","01","-0.0055"
"6","12","3730001000000411832063","05","01","-0.0111"
"6","14","3730001000000411840402","05","01","-0.0255"
"6","22","3730001000000411832452","05","01","+0.0077"
"6","29","3730001000000411832490","05","01","-0.0222"
"16","17","3730001000000411740825","05","01","-0.0100"
"16","25","3730001000000411738129","05","01","-0.0033"
"16","26","3730001000000411737535","05","01","+0.0433"
"16","31","3730001000000411738235","05","01","+0.0033"
"6","6","3730001000000411803261","05","01","+0.0122"
"6","21","3730001000000411803216","05","01","+0.0889"
"20","47","3730001000000411779931","05","01","+0.1056"
"20","50","3730001000000411796075","05","01","+0.0156"
"20","54","3730001000000411792572","05","01","-0.0123"
"20","56","3730001000000411795801","05","01","+0.0155"
"20","57","3730001000000411795412","05","01","-0.0034"
"3","56","3730001000000411726843","05","01","+0.1647"
"8","3","3730001000000411786700","05","01","+0.0322"
"10","51","3730001000000411802622","05","01","-0.0033"
"3","11","3730001000000411786281","05","01","+0.0200"
